global_scenario_id,local_scenario_id,source_folder,seed,thrust_angle_deg,mu,a,e,nu,m,I_diag,N,tf,epsilon,rs,n_agents,x0_r,x0_v,x0_phi,x0_omega,xf_r,xf_v,xf_phi,xf_omega
11,11,baseline_20260822_180915,1787418565,1.0,398000000000000.0,7410858.723662308,0.2154013128116982,0.017453292519943295,303.21392239127806,"[93365.60350538262, 216734.31941204792, 281999.2914327249]",45,452.0419840755028,8.784053773061152e-05,"[[3.8853632780489824, 4.536130740490859, -4.275908602542404], [-16.272829105893766, 12.504490928362134, 13.413652595424796], [-6.526487664642104, -15.141110780930163, -12.70159402071718], [11.422063563336302, -12.1713635004557, 6.172079228116339], [4.99282389919455, 5.539107907869552, -3.2382897914339517], [-37.23103804002679, -1.1519920915264845, -3.9288564571052875]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-180.16759497124585, 216.89329490082542, 6.779856873330722]","[0, 0, 0]","[1.5639939050626408, 2.492011623065563, 0.8552762546199515]","[0, 0, 0]"
12,12,baseline_20260822_180915,1787418566,1.0,398000000000000.0,7088386.20327867,0.16452627075747436,0.017453292519943295,21.116163299943643,"[7761.602350363451, 33472.1672150504, 38187.777675624755]",66,662.3096352140608,2.2582257996612875e-05,"[[8.805461743843836, -2.366892644132139, 5.349859143539094], [30.175041353382284, 2.107592597179861, 2.1323514936729695], [-15.046886239945735, -5.745561317239771, 15.465260555952906], [-45.93225645389505, 11.553565702028656, -3.978645445216539], [-19.27018585432644, -36.29882165347964, -5.911303326977854], [3.481619817295517, 23.80809975887464, -12.099664958435365]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[47.665891634423794, -44.32930011644943, 200.51811890147033]","[0, 0, 0]","[-0.19774530411410382, 0.004655291074707026, -0.39043704402117985]","[0, 0, 0]"
13,13,baseline_20260822_180915,1787418567,1.0,398000000000000.0,8197831.045329266,0.25920698664998776,0.017453292519943295,408.58836096616403,"[271003.89090340486, 343333.03876734705, 397645.39157418435]",31,314.56824872562004,7.883063646048658e-05,"[[-19.29957479699333, -13.339669508500705, -29.407818472606984], [-9.392775959132731, 8.561328409824736, -28.6747543762311], [-40.9199808098261, -8.096030030230274, 21.797352799436478], [-9.759553226697037, 18.716425812893903, -1.8283241344322574], [-12.97504366450964, 9.804657935318168, -15.033209534765135], [-10.044094879291636, -7.694941900028707, -43.8005666321089]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[119.64579571270134, 119.82273622454179, -16.039690582973645]","[0, 0, 0]","[-0.3107576250721103, 0.15416555749898272, -1.1267465867059858]","[0, 0, 0]"
14,14,baseline_20260822_180915,1787418568,1.0,398000000000000.0,8237030.4421875095,0.1252136607262026,0.017453292519943295,162.6909140599708,"[101345.48705570583, 176930.4505618584, 255491.44914690396]",34,347.881938845795,3.0351039590804686e-06,"[[3.356130639699606, -7.079192825174436, -2.5914977320251658], [-39.44502029502803, -15.90823653640526, -15.588420661351938], [23.2604324202201, 38.93352967803632, 6.851519841073174], [35.99388119895408, -5.674038555030674, -22.576310746425168], [4.398486813525392, 2.2655971609350156, -10.095067389596949], [-21.927319463933106, 18.373914854591714, 9.056129280657357]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[561.3193924276793, 204.01608531113752, 731.1992426065618]","[0, 0, 0]","[-0.08935337693442953, 0.8049650735717502, -0.05697305001127688]","[0, 0, 0]"
15,15,baseline_20260822_180915,1787418569,1.0,398000000000000.0,7354373.874102192,0.028516566966860293,0.017453292519943295,492.5048273901541,"[328186.2151015835, 573132.1858493012, 853051.0541334995]",35,350.1897626605205,2.7694374479181737e-05,"[[-4.1998343104508, -5.4273996124079105, 7.383274972402071], [7.43454685843175, 11.996519571891287, 22.920180220766195], [5.747308703713157, 14.030745392319844, -3.9035996886042077], [0.8580976621577964, -35.89488504730342, 30.078999995752326], [-7.5088052506083685, -11.74539469227966, 16.76820931872794], [5.643376584652198, -11.058162180826104, -7.519027119743128]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[661.0410939654205, 25.060735146824968, 388.5817656639831]","[0, 0, 0]","[2.4861752237347736, 0.8700661030085651, 1.50794782983031]","[0, 0, 0]"
16,16,baseline_20260822_180915,1787418570,1.0,398000000000000.0,7683656.019809791,0.202478954027168,0.017453292519943295,143.53793871541967,"[153902.6974574291, 154362.2247820407, 169919.942452292]",73,730.1716513631517,9.512949085965283e-05,"[[12.825551301386794, 0.1471211512204049, -1.0315775982302144], [-1.2160700725094626, -17.256244311487386, 13.696450451579514], [-36.94342434259618, 29.482028142653768, -3.526725450030191], [-11.004797240455312, -3.1803085398779145, -7.47442599316964], [-4.853307323589509, 11.39767160676568, -2.3116038502309926], [3.961987440422048, -18.016667811822654, -10.20362792947309]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[491.47830356530847, 250.47716614234142, -90.75880472634645]","[0, 0, 0]","[1.807185905190184, -1.8613282110730272, -1.7433905148136306]","[0, 0, 0]"
17,17,baseline_20260822_180915,1787418571,1.0,398000000000000.0,7587325.223093201,0.27893179824578224,0.017453292519943295,71.14054823001467,"[50941.02194639982, 51793.74166588074, 67479.7621883456]",81,818.4847490887614,5.567823971727117e-05,"[[-1.2264196457471772, -9.767870311954807, 22.752777224334356], [12.691993269174771, -9.577183960041886, 44.44616384437751], [-6.207777360557333, -3.3621408430413617, 15.835423237283075], [-19.163681633059067, 26.413105233129432, 27.469946675596436], [-6.695146685110135, -11.511989656273327, 27.357598401563934], [2.057719157251097, -1.6772605473090045, 8.119061959138879]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[656.8843986240898, -653.691976957656, -149.58293530975044]","[0, 0, 0]","[-0.5079174748963354, -1.0251699314748952, 1.4438384439981857]","[0, 0, 0]"
18,18,baseline_20260822_180915,1787418572,1.0,398000000000000.0,8213724.6578605315,0.12924776810562638,0.017453292519943295,449.0275370589136,"[191244.3170774452, 761680.445098867, 782990.9198257064]",88,886.555567162879,3.251459404687573e-05,"[[-1.7882146704783801, 1.4946142068003954, 8.293397634605256], [-4.178921258569527, 9.96262487643733, 44.08607571318934], [0.47515725622574084, 4.138468310642577, 22.93469513760492], [36.31004985443201, -24.351970086742842, -0.6009113316706521], [18.828420069387747, 35.765246946653534, -25.876892453469303], [0.7395054829263136, -0.5371914330449958, -10.503619451893035]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[450.1184748998231, -67.57180280179506, -314.66340875637496]","[0, 0, 0]","[-0.8260029867309433, 0.8192145981952136, 0.6089754955636661]","[0, 0, 0]"
19,19,baseline_20260822_180915,1787418573,1.0,398000000000000.0,8024806.176242442,0.2050189139570768,0.017453292519943295,6.247665406165363,"[3646.954433124089, 5924.266412070395, 7545.745908162926]",40,401.37309457833976,9.85550728580337e-05,"[[-4.53169458583591, -33.93597804827569, 31.661792098447034], [13.070366256156955, -4.2830281498265155, -39.18181889163895], [-3.5603378891622746, -5.245856221172668, 6.192512659662362], [-39.527825427843204, 5.926155572478933, -19.74433710030447], [5.571408445184784, -4.31832020892167, -25.072142986309267], [4.430886065626381, 3.0501510763769675, 1.2648611122015092]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[288.7022800410021, -16.831112167226667, 119.47220637399813]","[0, 0, 0]","[0.20533159725116581, 2.9088222901542564, -0.6184452293652339]","[0, 0, 0]"
20,20,baseline_20260822_180915,1787418574,1.0,398000000000000.0,7575146.545765687,0.03706615216566544,0.017453292519943295,446.8329312606958,"[159948.64718736734, 595187.0253292973, 722645.6884956306]",32,320.8513882903296,7.858786409144932e-05,"[[-4.323268015946435, -1.2170855262097708, 3.2141767209384575], [22.77152131141206, -5.321858533469353, 9.532355784488477], [7.811293075433691, 4.671417240841727, 10.773591238307926], [-13.220476317678154, 7.45686526124318, 18.748107099844415], [-14.670298372691644, 16.94991759311516, -12.00637133601466], [-11.042908713427481, -36.649936308850215, -22.682782473937205]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[222.71670422300093, 144.32209848528825, 42.57376203523192]","[0, 0, 0]","[0.5240785927350341, 0.31444359213834094, 1.7215358252298507]","[0, 0, 0]"
21,21,baseline_20260822_180915,1787418575,2.0,398000000000000.0,7014435.041517557,0.014188392120195509,0.03490658503988659,109.24242467913835,"[59358.35379155719, 168188.63930589368, 208531.3066946997]",34,343.7782205456397,9.041245123777139e-05,"[[28.827657320394955, 6.959656059648942, -21.858933585460502], [8.161194271981401, -5.313177726456784, 7.514845259657986], [3.841803249409863, -6.453007831601826, -15.462147126919804], [21.416212757782624, -27.87270057136475, -8.36993030553594], [-3.157966912973581, 7.4161775029169785, 45.186774556232734], [-11.910589316716036, 12.8222521913237, -13.348506636943947]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-308.3225483727718, 131.58087315505313, 311.1523409777536]","[0, 0, 0]","[0.5450326987957317, -0.9205275059683787, 1.2677869343760877]","[0, 0, 0]"
22,22,baseline_20260822_180915,1787418576,2.0,398000000000000.0,7899917.010617735,0.05954907048557424,0.03490658503988659,274.1897501791973,"[184201.96904833787, 278765.3257175455, 332801.03804916283]",72,722.7863433409765,9.006344582822355e-05,"[[3.2566750422935624, -27.589903297855297, -1.8717885463882347], [6.006302663113864, 24.0761513001357, -19.358107580535012], [-26.795176678080527, -2.0438514450080567, -16.983530551563142], [-32.46683683078807, 1.1440680548321414, -9.789607430466816], [-35.76925993729303, -10.933658821851038, -21.26649989086569], [-30.533511510204626, 6.301449447775974, 26.940054713471806]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-18.324452440406677, 193.34743895886777, -246.6410887234554]","[0, 0, 0]","[0.18725271589548878, 2.3329777200457125, 0.5228156794416488]","[0, 0, 0]"
23,23,baseline_20260822_180915,1787418577,2.0,398000000000000.0,7074735.720190198,0.26507948481202187,0.03490658503988659,469.1219293360262,"[338217.15781343955, 778162.6020144604, 841312.2925130823]",71,713.6334809277218,9.117094035705904e-05,"[[16.798549773090446, -25.74093672307435, -11.31063473732005], [14.199711390266781, -5.590294610250521, 28.75416977467718], [35.44821164821822, 19.044676359363923, 6.239201388546356], [-38.579039915727215, 21.984608566979983, -17.647011609860193], [-10.282029014843642, -31.28955809731734, -37.38546096094393], [-3.4311341195045917, -7.990627160451895, 4.448650747901875]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-111.35403553173941, -136.15113247736815, -310.5657932181615]","[0, 0, 0]","[0.35416893762844404, 0.6997297365470077, 0.9640379407085905]","[0, 0, 0]"
24,24,baseline_20260822_180915,1787418578,2.0,398000000000000.0,7498763.132165662,0.09005697927017008,0.03490658503988659,116.51390379386008,"[104819.93635796444, 198313.93560126206, 203167.11634479926]",32,321.0650821644834,9.21583212854886e-05,"[[3.2566554891932795, 6.331997078140918, -10.312810927529009], [-10.45727855323211, 12.664714367776032, -1.1998975259716902], [-12.524143053245991, 0.6641007631210822, -24.61896937819708], [3.156849240996369, 6.173296250452512, 4.978814150037728], [13.639580780450364, -15.786483017195259, -0.5571679676387133], [-32.89852391215452, -16.775444693572553, 30.373522587854673]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[487.8604719286235, -335.5309271260959, -332.3453055237265]","[0, 0, 0]","[-0.5335758681330849, -0.5239072323683979, -0.22173207328352604]","[0, 0, 0]"
25,25,baseline_20260822_180915,1787418579,2.0,398000000000000.0,7620052.94974353,0.09495189970607873,0.03490658503988659,308.6942865928037,"[110888.07734950514, 299965.07739020133, 352706.94509580126]",36,362.2072641556702,9.101515484690493e-05,"[[3.5212465308699903, 16.943051198023976, 28.714205918229553], [-15.713665563072206, -30.75494173822454, 9.629084686701844], [1.1326871460282657, -33.285431361428856, -2.067985219268039], [-5.692814787255963, 3.8724638915021754, 1.2739772183977902], [-9.860086655221092, -0.7534185007424479, 29.93236431583232], [-7.3884487677257695, -25.5332400029937, -12.423032877944388]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-273.99737920790227, 459.7847470970874, -253.43867271867143]","[0, 0, 0]","[-2.0664433048998947, -0.18870971249410967, 1.3311443834205405]","[0, 0, 0]"
26,26,baseline_20260822_180915,1787418580,2.0,398000000000000.0,7897228.575661325,0.09888846660114181,0.03490658503988659,407.6258839666747,"[286564.84133087425, 470782.8854213071, 730020.1848714496]",48,486.7853427355512,8.480830804331384e-06,"[[-16.095058268172668, -0.3311886311671985, -19.749190839592668], [-20.230330040081647, -17.577085924411715, -4.046421163872448], [-10.757952993599902, 45.50974832784469, -7.824871697109297], [10.189199828957408, 17.23676507971819, -25.537667030263297], [-11.446414952313855, -3.343389339274453, -5.321266658055694], [-9.296808313337795, -17.63205795890918, 0.8737959937054808]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-86.42737083420971, -420.65666290356876, 655.8287995231074]","[0, 0, 0]","[0.622138693746327, -2.3134454446802803, 1.6375985568482774]","[0, 0, 0]"
27,27,baseline_20260822_180915,1787418581,2.0,398000000000000.0,7450693.572228549,0.24032530921509604,0.03490658503988659,204.66784892615712,"[187525.33655524938, 335422.8397596032, 439049.8781290326]",67,671.8030619584241,6.932094368433428e-05,"[[7.970812329718249, 32.4100678173078, -19.525973177848876], [18.74520858355561, 13.499874320561176, -32.41360009085558], [-32.656642212231226, 25.782766946750538, 5.761389283231806], [10.739839591096285, -0.2694305699094188, 7.507893337183502], [-20.447661281343116, -36.99926076865628, -25.496659489378676], [6.6594114150863675, 44.83189660137246, -7.7966152647532345]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-6.594364474090044, -105.69028398617837, 308.5880182527523]","[0, 0, 0]","[1.4100347167163019, -1.2471674110807556, 0.4569969965708678]","[0, 0, 0]"
28,28,baseline_20260822_180915,1787418582,2.0,398000000000000.0,7038468.767746504,0.050517057017943165,0.03490658503988659,101.57829363160553,"[95602.64086576611, 159067.20633633726, 193496.46261170003]",89,891.7075615380935,3.8411926910693655e-05,"[[6.4380676918425515, -7.819093478376413, -30.10786526271658], [3.93286834819492, 0.6344819005350613, -4.3300770889295865], [-30.57658810275513, -17.71165791918427, 32.39111207721664], [-16.083805039061833, -20.438636103608577, 23.740290128692866], [10.9157666355008, 15.635053236844742, 0.6115829865886031], [-5.289705650468199, 35.09995566611789, -3.269898725921944]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-137.64406037978142, 568.6792951663979, -37.28738023163435]","[0, 0, 0]","[0.6331440481551415, -0.22406143219441493, 1.4909554175937063]","[0, 0, 0]"
29,29,baseline_20260822_180915,1787418583,2.0,398000000000000.0,7851925.697448677,0.16747426475737212,0.03490658503988659,434.6253370539517,"[446999.2858207129, 612522.9834843763, 759784.7975517764]",37,372.08750342068623,5.237941763881377e-05,"[[-10.395277261832891, -13.189010994892028, -4.254588287380314], [-5.202324890156334, 9.22728720322893, 3.861975488865532], [3.7957186242078906, -8.379036795010453, -5.96791879129904], [-8.272721644561681, 7.5120289199199926, 5.670039301720138], [1.318867167162885, -12.677018220391298, -22.971114504969364], [16.781261808091447, -35.65559107256058, 27.491633823394476]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-343.4723333365687, 199.21971654192714, -168.9475077311903]","[0, 0, 0]","[1.3076373832922186, 0.7986681341970332, 2.6703569835310526]","[0, 0, 0]"
30,30,baseline_20260822_180915,1787418584,2.0,398000000000000.0,7756153.472426462,0.1773309867234745,0.03490658503988659,219.07337507878236,"[75174.79898187683, 179300.50673333142, 198288.25497112353]",48,485.56782265121154,7.291560022214128e-05,"[[-7.582764459268125, 7.641972403483077, 8.841968514488155], [6.006888738812417, 5.260837271244883, -2.6470298930211937], [5.455313040310056, -1.5003082479580372, -5.023244195172043], [-7.552509149928899, 17.52316367017667, 0.4149293444854119], [-4.058886919878876, -22.159670194483493, -42.5300777687428], [-17.58782887945189, 0.10908453906371428, 0.2701604976382216]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[143.75588107248248, -349.8801829742342, 63.63234479584884]","[0, 0, 0]","[-0.9607198575285871, 0.19612719726886454, -0.9750983025817226]","[0, 0, 0]"
31,31,baseline_20260822_180915,1787418585,2.0,398000000000000.0,7888837.930691071,0.18567943870266446,0.03490658503988659,460.00205293262957,"[297317.89607085724, 709936.0679262294, 986104.2066138042]",81,815.2570434965436,4.8086657017427056e-05,"[[-14.611967339135925, -11.963188253105896, -7.614958628570222], [29.939765167974187, 9.288666815652943, -18.835244193475134], [-35.055290089235214, 31.029679027896908, -11.000846639872023], [-3.5557628206527427, 0.2679790836404307, -6.589883299359864], [-0.774353916473763, -19.521913517255822, 23.442150218312833], [13.73395945993861, 7.455980542659919, 4.126747265481016]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[567.4594383968648, -124.05976293865068, 537.5173626509879]","[0, 0, 0]","[2.2541373774682274, 1.709545862430599, 0.42843241642832236]","[0, 0, 0]"
32,32,baseline_20260822_180915,1787418586,2.0,398000000000000.0,7661974.5031057205,0.21804825221187762,0.03490658503988659,10.259287685818139,"[3382.1487579460827, 14579.370744849479, 14718.389586951973]",52,524.6612446025364,7.08272554531633e-05,"[[-1.3502233673729187, 2.6656219432933987, -6.790784985997337], [-2.9604560234454698, -5.325811425522784, -0.5201073909672229], [-7.424184958533494, 2.374161562343769, 2.8172637433235037], [10.482195208867452, -5.579617526207814, 18.13173348331565], [-6.121686321503475, 5.833864756825834, -10.927108001583877], [6.109299430976578, 24.819136044265406, 35.82327251012339]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[620.6350405603657, -502.82394557046376, -91.61837460620993]","[0, 0, 0]","[0.7095418868412371, -2.414301209003781, -1.3536363899623098]","[0, 0, 0]"
33,33,baseline_20260822_180915,1787418587,2.0,398000000000000.0,7555501.364619159,0.028295679266331565,0.03490658503988659,395.2703503548681,"[120246.82614818681, 245739.41207056984, 274630.4957815283]",34,342.6237598991244,3.0518461784334595e-05,"[[-22.224795501362234, -7.162507303821883, -31.595566892713684], [-28.536176852850666, -4.525693285660843, -13.772066550486318], [-24.40353112091041, 34.498101527420225, 18.787440741340735], [2.067386784395828, 5.861924437288894, 1.1104281380686252], [-13.075444214014276, -9.986325539617752, -25.468325484610805], [21.321766847938417, -11.387167993403084, 21.31592511008363]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-191.24844620188605, 74.75562254213027, 245.4971183394948]","[0, 0, 0]","[1.8019140942386256, -1.7546110793632175, -1.8490683421046512]","[0, 0, 0]"
